Model,Beschrijving,Art (★),Prompting (★),Realism (★),Typography (★),Kosten ($),Type
Nano Banana 2,AKA Gemini Flash 3.1 - Google's nieuwste model met first-class startafbeelding ondersteuning.,★★★★☆,★★★★★,★★★★★,★★★★★,$$$$$,Image
Seedream 5.0 Lite (Preview),Responsive text-to-image generation and precise prompt adherence,★★☆☆☆,★★★★★,★★★★★,★★★★☆,$$$,Image
HiDream I1 Dev,Maakt verbluffende artistieke afbeeldingen met uitzonderlijke helderheid en detail.,★★★★★,★★★☆☆,★★★★☆,★★☆☆☆,$$$$$,Image
Flux,Een geweldig algemeen model voor lage kosten.,★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$,Image
Clarity Upscaler,Een creatieve upscaler die detail toevoegt en opschaalt tot 4x.,★★★☆☆,★★★☆☆,★★★★☆,★★☆☆☆,$$$$,Image
Flux 2 Klein 9B Fast,Flux 2 Klein 9B is een 4-stap gedistilleerd beeldgeneratie en bewerkingsmodel.,★★☆☆☆,★★☆☆☆,★★★☆☆,★★☆☆☆,$$$$,Image
Nano Banana Pro,De volgende versie van Nano Banana met verbeterde mogelijkheden en prestaties.,★★★☆☆,★★★★☆,★★☆☆☆,★★☆☆☆,$$$$$,Image
Seedream 4.0,Next-gen multimodaal AI model voor ultra-snelle hoge resolutie generatie (2K-4K).,★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$$,Image
Z-Image Turbo,Een betaalbaar model met geweldige kwaliteit voor lage kosten.,★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$,Image
Nano Banana,AKA Gemini Flash 2.5 - Google's nieuwste model met first-class startafbeelding ondersteuning.,★★★☆☆,★★★★☆,★★★☆☆,★★☆☆☆,$$$$$,Image
Seedream 4.5,Een verbeterde versie van Seedream 4.0.,★★★★☆,★★★★☆,★★★★★,★★★☆☆,$$$$,Image
HiDream I1 Fast,"Snellere en goedkopere versie van HiDream, geweldig voor artistieke afbeeldingen.",★★★★☆,★★★☆☆,★★★★☆,★★☆☆☆,$$$$$,Image
Seedream 3.0,Een model van ByteDance met focus op realisme en detail.,★★★★☆,★★★★☆,★★★★★,★★★☆☆,$$$$$,Image
Qwen Image 2512,Qwen's nieuwste update met grote verbeteringen in realisme. Fotorealistische mensen.,★★★★☆,★★★★☆,★★★★★,★★★★☆,$$$$,Image
Qwen Image Edit 2511,"Behoudt mensen en texturen goed, ongeacht aanpassingen.",★★★★☆,★★★★☆,★★★★★,★★★☆☆,$$$$,Edit
Flux 2 Klein 4B Fast,De snelste variant in de Klein familie. Gebouwd voor interactieve toepassingen en realtime gebruik.,★★★☆☆,★★★★☆,★★★☆☆,★★☆☆☆,$$$$$,Image
Flux 2 Klein 4B,Een kleiner basismodel met uitzonderlijke kwaliteit-grootte verhouding. Ideaal voor efficiënt gebruik.,★★★☆☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$,Image
Flux 2 Klein 9B,Uitstekende kwaliteit bij sub-seconde snelheid. Geweldig voor realtime generatie.,★★★☆☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$,Image
Qwen Image,Een model van Alibaba dat uitblinkt in typografie.,★★★★☆,★★★★☆,★★★☆☆,★★★★★,$$$$,Image
Qwen Image SD,Een goedkopere lagere resolutie versie van Qwen Image.,★★★☆☆,★★★★☆,★★★☆☆,★★★★☆,$$$$,Image
Flux 2 Dev,"Baseline Flux 2, goed in alles en voor redelijke kosten.",★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$,Image
Flux 2 Pro,Flux 2 met verbeterde beeldkwaliteit en goed voor fotorealisme.,★★★★☆,★★★★★,★★★★★,★★★☆☆,$$$$,Image
Flux 2 Flex,"Flux 2, beter voor typografie en designs.",★★★★☆,★★★★☆,★★★★☆,★★★★★,$$$$,Image
Flux 2 Max,Gegronding generatie met echte context. Maximum kwaliteit voor complexe workflows.,★★★★★,★★★★★,★★★★★,★★★★★,$$$$$,Image
Flux Krea,Maakt realistische afbeeldingen met focus op correcte menselijke anatomie.,★★★★☆,★★★★☆,★★★★★,★★★☆☆,$$$$,Image
Flux Schnell,"Een goedkopere, snellere maar iets minder krachtige versie van Flux.",★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$,Image
Google Imagen 4.0 Fast,"Een snellere goedkopere versie van Imagen v4, Google's beeldmodel.",★★★★☆,★★★★☆,★★★★☆,★★★★☆,$$$$,Image
Google Imagen 4.0,Google's beeldmodel. Geweldig voor prompt-naleving en typografie.,★★★★☆,★★★★★,★★★★★,★★★★★,$$$$,Image
Qwen Image Edit Plus,AKA Qwen Image Edit 2509 - Verbeterde versie van Qwen-Image-Edit met multi-image ondersteuning.,★★★★☆,★★★★☆,★★★★★,★★★☆☆,$$$$,Edit
Qwen Image Edit,Geavanceerde beeldbewerkingsmogelijkheden met Qwen AI.,★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$,Edit
Flux Kontext Dev,"Goedkopere en snellere versie van Kontext, goed in het bewerken via prompts.",★★★☆☆,★★★★★,★★★★☆,★★★☆☆,$$$$$,Edit
Flux PRO v1.1,De volledige krachtige versie van Flux door Black Forest Labs.,★★★★★,★★★★★,★★★★★,★★★☆☆,$$$$$,Image
HiDream I1 Full,"De volledige kracht van HiDream I1, een geavanceerd beeldgeneratiemodel.",★★★★★,★★★★☆,★★★★☆,★★★☆☆,$$$$$,Image
Ideogram V3 Turbo,Het nieuwste turbo model van Ideogram.,★★★★☆,★★★★★,★★★★☆,★★★★★,$$$$,Image
Dreamshaper XL Lightning,Een snel goedkoop model dat goed is in kunst en realisme.,★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$$,Image
Google Imagen 4.0 Ultra,"Een grotere versie van Imagen v4, Google's nieuwste beeldmodel.",★★★★★,★★★★★,★★★★★,★★★★★,$$$$$,Image
Flux PRO v1.1 Ultra,Ultra hoge resolutie versie van Flux door Black Forest Labs.,★★★★★,★★★★★,★★★★★,★★★★☆,$$$$$,Image
Flux Kontext Pro,Uitstekend in het bewerken van afbeeldingen via natuurlijke taal prompts.,★★★☆☆,★★★★★,★★★★☆,★★★☆☆,$$$$$,Edit
Flux Kontext Max,Een krachtigere versie van Flux Kontext voor beeldbewerking via tekstprompts.,★★★☆☆,★★★★★,★★★★☆,★★★☆☆,$$$$,Edit
Ideogram V3 Quality,Het nieuwste en beste model van Ideogram.,★★★★★,★★★★★,★★★★☆,★★★★★,$$$$$,Image
DALL-E 3,Beeldmodel van OpenAI. Geweldig voor creatieve artistieke prompts.,★★★★★,★★★★★,★★★★☆,★★★☆☆,$$$$$,Image
GPT1.5 Medium,Het nieuwste model van OpenAI op gemiddelde kwaliteitsinstelling. Ondersteunt prompt-to-edit.,★★★★★,★★★★★,★★★★★,★★★★☆,$$$$$,Image
GPT1.5 High,Het nieuwste model van OpenAI op hoge kwaliteitsinstelling. Ondersteunt prompt-to-edit.,★★★★★,★★★★★,★★★★★,★★★★★,$$$$,Image
GPT1 Medium,Het nieuwste flagship beeldmodel van OpenAI op gemiddelde kwaliteitsinstelling.,★★★★★,★★★★★,★★★★★,★★★★☆,$$$$$,Image
GPT1 High,Het nieuwste flagship beeldmodel van OpenAI op hoge kwaliteitsinstelling.,★★★★★,★★★★★,★★★★★,★★★★★,$$$$$,Image
Ideogram V3,Het nieuwste model van Ideogram.,★★★★★,★★★★★,★★★★☆,★★★★★,$$$$,Image
