Name,Owner,Category,Description,Tags,Quantization,Max Context Tokens,Pricing Type,Pricing,Deprecated,Replaced By
MiniMaxAI/MiniMax-M2.5,MiniMaxAI,text-generation,"MiniMax M2.5 is SOTA in coding, agentic tool use and search, office work, and a range of other economically valuable tasks, boasting scores of 80.2% in SWE-Bench Verified, 51.3% in Multi-SWE-Bench, and 76.3% in BrowseComp (with context management).",openai; tools; cc-native; json; featured,fp8,196608,tokens,$0.0300 cached/1M tokens; $0.2700 in/1M tokens; $0.9500 out/1M tokens,,
moonshotai/Kimi-K2.5,moonshotai,text-generation,"Kimi K2.5 is an open-source, native multimodal agentic model built through continual pretraining on approximately 15 trillion mixed visual and text tokens atop Kimi-K2-Base. It seamlessly integrates vision and language understanding with advanced agentic capabilities, instant and thinking modes, as well as conversational and agentic paradigms.",openai; tools; json; multimodal; structured-output; featured,,262144,tokens,$0.0700 cached/1M tokens; $0.4500 in/1M tokens; $2.2500 out/1M tokens,,
zai-org/GLM-4.7-Flash,zai-org,text-generation,"GLM-4.7-Flash is a 30B-A3B MoE model. As the strongest model in the 30B class, GLM-4.7-Flash offers a new option for lightweight deployment that balances performance and efficiency.",openai; tools; json; structured-output; featured,bfloat16,202752,tokens,$0.0100 cached/1M tokens; $0.0600 in/1M tokens; $0.4000 out/1M tokens,,
nvidia/Nemotron-3-Nano-30B-A3B,nvidia,text-generation,"NVIDIA Nemotron 3 Nano is an open reasoning model optimized for fast, cost-efficient inference. Built with a hybrid MoE and Mamba architecture and trained on NVIDIA-curated synthetic reasoning data, it delivers strong multi-step reasoning with stable latency and predictable performance for agentic and production workloads.",tools; reasoning; can-disable-reasoning; openai; featured,fp4,262144,tokens,$0.0500 in/1M tokens; $0.2000 out/1M tokens,,
deepseek-ai/DeepSeek-V3.2,deepseek-ai,text-generation,"DeepSeek-V3.2 is a large language model designed to harmonize high computational efficiency with strong reasoning and agentic tool-use performance. It introduces DeepSeek Sparse Attention (DSA), a fine-grained sparse attention mechanism that reduces training and inference cost while preserving quality in long-context scenarios. A scalable reinforcement learning post-training framework further improves reasoning, with reported performance in the GPT-5 class, and the model has demonstrated gold-medal results on the 2025 IMO and IOI. V3.2 also uses a large-scale agentic task synthesis pipeline to better integrate reasoning into tool-use settings, boosting compliance and generalization in interactive environments.",openai; tools; can-disable-reasoning; json; structured-output; featured,fp4,163840,tokens,$0.1300 cached/1M tokens; $0.2600 in/1M tokens; $0.3800 out/1M tokens,,
Bria/fibo_edit,Bria,text-to-image,"🥳 For a limited time, Fibo Edit is free on DeepInfra 🥳  YOUR AI, YOUR RULES. Visual Generation for Production-Grade. FIBO Edit. An open-source image editing model with native masking and a lightweight 8B architecture.",featured,,,image_units,$0.00/image,,
Bria/video_eraser,Bria,text-to-video,"Remove unwanted objects or regions from video using a mask, reconstructs the background with intelligent content-aware fill.",featured,,,output_length,$0.1400/second,,
Bria/video_foreground_mask,Bria,text-to-video,"Automatically identify and segment foreground objects across video frames and generate a mask. No prompts, just a video.",featured,,,output_length,$0.1400/second,,
Bria/video_increase_resolution,Bria,text-to-video,"Increase video resolution up to 8K with advanced AI upscaling. Bring your videos to the big screen, ready for the screens of tomorrow.",featured,,,output_length,$0.1400/second,,
Bria/video_mask_by_key_points,Bria,text-to-video,Identify and segment objects across video frames using specific coordinate points. Just point in the right direction and the model will figure out by itself which object should be masked.,featured,,,output_length,$0.1400/second,,
Bria/video_mask_by_prompt,Bria,text-to-video,Identify and segment objects across video frames using a text prompt. The easiest way to create a mask to modify your videos.,featured,,,output_length,$0.1400/second,,
Bria/video_remove_background,Bria,text-to-video,Light and fast. Remove the background of your videos to bring the foreground elements to focus. No more unwanted distractions.,featured,,,output_length,$0.1400/second,,
PrunaAI/p-image,PrunaAI,text-to-image,"P-Image is a state-of-the-art real-time generation model  with exceptional text rendering, fine-detail accuracy, and rock-solid prompt adherence. It’s built for instant creativity at high-fidelity images in about one second at a fraction of typical model costs.",featured,,,image_units,$0.005000/image unit,,
PrunaAI/p-image-Edit,PrunaAI,text-to-image,"P-Image-Edit is a high-precision image editing model that applies complex transformations, insertions, removals, and style adjustments in under a second. It delivers state-of-the-art accuracy, clean boundaries, and reliable prompt alignment, making multi-step edits fast, consistent, and production-ready.",featured,,,image_units,$0.010000/image unit,,
bosonai/HiggsAudioV2.5,bosonai,text-to-speech,"HiggsAudioV2.5 is a high-quality neural text-to-speech (TTS) model designed for natural-sounding voice generation across a wide range of use cases. It focuses on clarity, stable prosody, and consistent pacing, making it suitable for both short prompts and longer narration.",featured,,,input_character_length,$NaN/1M characters,,
ResembleAI/chatterbox-turbo,ResembleAI,text-to-speech,"Chatterbox is a family of three state-of-the-art, open-source text-to-speech models by Resemble AI.  We are excited to introduce Chatterbox-Turbo, our most efficient model yet. Built on a streamlined 350M parameter architecture, Turbo delivers high-quality speech with less compute and VRAM than our previous models. We have also distilled the speech-token-to-mel decoder, previously a bottleneck, reducing generation from 10 steps to just one, while retaining high-fidelity audio output.  Paralinguistic tags are now native to the Turbo model, allowing you to use [cough], [laugh], [chuckle], and more to add distinct realism. While Turbo was built primarily for low-latency voice agents, it excels at narration and creative workflows.  If you like the model but need to scale or tune it for higher accuracy, check out our competitively priced TTS service (link).",voice; featured,,,input_character_length,$NaN/1M characters,,
black-forest-labs/FLUX-2-klein-4b,black-forest-labs,text-to-image,The fastest model of the Flux 2 family. Frontier visual intelligence — state-of-the-art image generation and editing from Black Forest Labs,featured,,,image_units,$0.014000/image unit,,
black-forest-labs/FLUX-2-klein-9b,black-forest-labs,text-to-image,"The best quality-to-latency ratio, production apps model of the Flux 2 family. Frontier visual intelligence — state-of-the-art image generation and editing from Black Forest Labs",featured,,,image_units,$0.015000/image unit,,
Austism/chronos-hermes-13b-v2,Austism,text-generation,This offers the imaginative writing style of chronos while still retaining coherency and being capable. Outputs are long and utilize exceptional prose. Supports a maxium context length of 4096. The model follows the Alpaca prompt format.,openai; json,fp16,4096,tokens,$0.1300 in/1M tokens; $0.1300 out/1M tokens,Yes,Gryphe/MythoMax-L2-13b
BAAI/bge-base-en-v1.5,BAAI,embeddings,"BGE embedding is a general Embedding Model. It is pre-trained using retromae and trained on large-scale pair data using contrastive learning. Note that the goal of pre-training is to reconstruct the text, and the pre-trained model cannot be used for similarity calculation directly, it needs to be fine-tuned",,,512,input_tokens,$0.0050/1M tokens,,
BAAI/bge-en-icl,BAAI,embeddings,A LLM-based embedding model with in-context learning capabilities that achieves SOTA performance on BEIR and AIR-Bench. It leverages few-shot examples to enhance task performance.,,,8192,input_tokens,$0.0100/1M tokens,,
BAAI/bge-large-en-v1.5,BAAI,embeddings,"BGE embedding is a general Embedding Model. It is pre-trained using retromae and trained on large-scale pair data using contrastive learning. Note that the goal of pre-training is to reconstruct the text, and the pre-trained model cannot be used for similarity calculation directly, it needs to be fine-tuned",,,512,input_tokens,$0.0100/1M tokens,,
BAAI/bge-m3,BAAI,embeddings,"BGE-M3 is a versatile text embedding model that supports multi-functionality, multi-linguality, and multi-granularity, allowing it to perform dense retrieval, multi-vector retrieval, and sparse retrieval in over 100 languages and with input sizes up to 8192 tokens. The model can be used in a retrieval pipeline with hybrid retrieval and re-ranking to achieve higher accuracy and stronger generalization capabilities. BGE-M3 has shown state-of-the-art performance on several benchmarks, including MKQA, MLDR, and NarritiveQA, and can be used as a drop-in replacement for other embedding models like DPR and BGE-v1.5.",,fp32,8192,input_tokens,$0.0100/1M tokens,,
BAAI/bge-m3-multi,BAAI,embeddings,"BGE-M3 is a multilingual text embedding model developed by BAAI, distinguished by its Multi-Linguality (supporting 100+ languages), Multi-Functionality (unified dense, multi-vector, and sparse retrieval), and Multi-Granularity (handling inputs from short queries to 8192-token documents). It achieves state-of-the-art retrieval performance across diverse benchmarks while maintaining a single model for multiple retrieval modes.",,,8192,input_tokens,$0.0100/1M tokens,,
Bria/Bria-3.2,Bria,text-to-image,"Bria 3.2 is the next-generation commercial-ready text-to-image model. With just 4 billion parameters, it provides exceptional aesthetics and text rendering, evaluated to be on par to leading open-source models, and outperforming other licensed models.",,,,image_units,$0.040000/image unit,,
Bria/Bria-3.2-vector,Bria,text-to-image,"Bria 3.2 is the next-generation commercial-ready text-to-image model. With just 4 billion parameters, it provides exceptional aesthetics and text rendering, evaluated to be on par to leading open-source models, and outperforming other licensed models.",,,,image_units,$0.040000/image unit,,
Bria/blur_background,Bria,text-to-image,"Bria Blur Background softens and de-emphasizes image backgrounds while keeping the subject sharp and clear for professional-quality results. Trained fully on licensed data, it delivers safe, natural, and commercial-ready outputs.",,,,image_units,$0.040000/image unit,,
Bria/enhance,Bria,text-to-image,"Bria Enhance improves overall image quality by sharpening details, balancing colors, and boosting clarity for crisp, professional visuals. Trained only on licensed data, it’s safe, reliable, and ready for commercial use.",,,,image_units,$0.040000/image unit,,
Bria/erase,Bria,text-to-image,Bria Eraser enables precise removal of unwanted objects from images while maintaining high-quality outputs. Trained exclusively on licensed data for safe and risk-free commercial use,,,,image_units,$0.040000/image unit,,
Bria/erase_foreground,Bria,text-to-image,"Bria Erase Foreground precisely removes main subjects or foreground objects from images. Built entirely on licensed data, it is safe and optimized for professional and commercial use.",,,,image_units,$0.040000/image unit,,
Bria/expand,Bria,text-to-image,Bria Expand expands images beyond their borders in high quality. Resizing the image by generating new pixels to expand to the desired aspect ratio. Trained exclusively on licensed data for safe and risk-free commercial use.,,,,image_units,$0.040000/image unit,,
Bria/fibo,Bria,text-to-image,"FIBO is an open-source, JSON-native text-to-image model trained on detailed structured descriptions (over 1,000+ words per image), providing fine-grained control over light, composition, and camera parameters.",,,,image_units,$0.040000/image unit,,
Bria/gen_fill,Bria,text-to-image,Bria GenFill enables high-quality object addition or visual transformation. Trained exclusively on licensed data for safe and risk-free commercial use.,,,,image_units,$0.040000/image unit,,
Bria/remove_background,Bria,text-to-image,"Bria RMBG 2.0 enables seamless removal of backgrounds from images, ideal for professional editing tasks. Trained exclusively on licensed data for safe and risk-free commercial use.",,,,image_units,$0.018000/image unit,,
Bria/replace_background,Bria,text-to-image,"Bria Background Generation allows for efficient swapping of backgrounds in images via text prompts or reference image, delivering realistic and polished results. Trained exclusively on licensed data for safe and risk-free commercial use.",,,,image_units,$0.040000/image unit,,
ByteDance/Seed-1.8,ByteDance,text-generation,"Optimized specifically for multimodal agent scenarios. It features enhanced agent capabilities, upgraded multimodal comprehension, and more flexible context management.",cc-native; no-free-anon; json; tools; structured-output; openai; multimodal,,256000,tokens,$0.0500 cached/1M tokens; $0.2500 in/1M tokens; $2.0000 out/1M tokens,,
ByteDance/Seed-2.0-mini,ByteDance,text-generation,"Built for low-latency, high-concurrency, cost-sensitive use cases, with flexible deployment, four-tier thinking, and multimodal",structured-output; openai; json; tools; no-free-anon; cc-native; multimodal,,256000,tokens,$0.0200 cached/1M tokens; $0.1000 in/1M tokens; $0.4000 out/1M tokens,,
ByteDance/Seedance-1.5-Pro,ByteDance,text-to-video,"ByteDance's Seedance 1.5 Pro is a professional video model using V2A native generation for integrated, synced audio-visual output, enhancing efficiency of professional video creation.",,,,input_tokens,$1.2000/1M tokens,,
ClarityAI/creative,ClarityAI,text-to-image,"ClarityAI/creative is an AI-powered image upscaler that enhances details, adds realism, and creatively modifies images to improve their quality and visual appeal.",,,,image_units,$0.050000/image unit,,
ClarityAI/crystal,ClarityAI,text-to-image,"ClarityAI/crystal is a specialized upscaler optimized for portraits, faces, and products, delivering high-precision enhancements with adjustable detail levels for sharp, natural results.",,,,image_units,$0.050000/image unit,,
ClarityAI/flux,ClarityAI,text-to-image,"ClarityAI/flux integrates the Flux AI model into the upscaling process, enabling high-resolution enhancements with superior face preservation and support for LoRAs to apply specific styles or identities.",,,,image_units,$0.200000/image unit,,
CompVis/stable-diffusion-v1-4,CompVis,text-to-image,Stable Diffusion is a latent text-to-image diffusion model capable of generating photo-realistic images given any text input.,,,,time,$NaN/second,Yes,stabilityai/sdxl-turbo
Gryphe/MythoMax-L2-13b,Gryphe,text-generation,,openai; json; structured-output,fp16,4096,tokens,$0.4000 in/1M tokens; $0.4000 out/1M tokens,,
Gryphe/MythoMax-L2-13b-turbo,Gryphe,text-generation,Faster version of Gryphe/MythoMax-L2-13b running on multiple H100 cards in fp8 precision. Up to 160 tps. ,openai,fp8,4096,tokens,$0.1300 in/1M tokens; $0.1300 out/1M tokens,Yes,Gryphe/MythoMax-L2-13b
KoboldAI/LLaMA2-13B-Tiefighter,KoboldAI,text-generation,"LLaMA2-13B-Tiefighter is a highly creative and versatile language model, fine-tuned for storytelling, adventure, and conversational dialogue. It combines the strengths of multiple models and datasets, including retro-rodeo and choose-your-own-adventure, to generate engaging and imaginative content. With its ability to improvise and adapt to different styles and formats, Tiefighter is perfect for writers, creators, and anyone looking to spark their imagination.",openai; json,fp16,4096,tokens,$0.1000 in/1M tokens; $0.1000 out/1M tokens,Yes,Gryphe/MythoMax-L2-13b
MiniMaxAI/MiniMax-M2,MiniMaxAI,text-generation,MiniMax-M2 is a Mini model built for Max coding & agentic workflows with just 10 billion activated parameters,openai; cc-native; tools; json; featured,fp8,262144,tokens,$0.1270 cached/1M tokens; $0.2540 in/1M tokens; $1.0200 out/1M tokens,Yes,MiniMaxAI/MiniMax-M2.1
MiniMaxAI/MiniMax-M2.1,MiniMaxAI,text-generation,"MiniMax-M2.1 is a model optimized specifically for robustness in coding, tool use, instruction following, and long-horizon planning. From automating multilingual software development to executing complex, multi-step office workflows, MiniMax-M2.1 empowers developers to build the next generation of autonomous applications—all while being fully transparent, controllable, and accessible.",tools; openai; cc-native; json,fp8,196608,tokens,$0.0300 cached/1M tokens; $0.2700 in/1M tokens; $0.9500 out/1M tokens,,
NousResearch/Hermes-3-Llama-3.1-405B,NousResearch,text-generation,"Hermes 3 is a cutting-edge language model that offers advanced capabilities in roleplaying, reasoning, and conversation. It's a fine-tuned version of the Llama-3.1 405B foundation model, designed to align with user needs and provide powerful control. Key features include reliable function calling, structured output, generalist assistant capabilities, and improved code generation. Hermes 3 is competitive with Llama-3.1 Instruct models, with its own strengths and weaknesses.",openai; json; no-free-anon; structured-output,fp8,131072,tokens,$1.0000 in/1M tokens; $1.0000 out/1M tokens,,
NousResearch/Hermes-3-Llama-3.1-70B,NousResearch,text-generation,"Hermes 3 is a generalist language model with many improvements over Hermes 2, including advanced agentic capabilities, much better roleplaying, reasoning, multi-turn conversation, long context coherence, and improvements across the board.",openai; cc-native; json; structured-output,fp8,131072,tokens,$0.3000 in/1M tokens; $0.3000 out/1M tokens,,
